人気美容室のIJK表参道がパーソナルジムをOPEN！CAMPFIRE限定割引！,36,終了,882555,2500000,表参道にある人気美容室IJK OMOTESANDOが美容室と同ビル上４階に完全１対１の個室パーソナルトレーニングジムをOPENします！ジムで1時間トレーニング後、シャワーを浴びて髪の毛濡れたまま下の美容室へ。カットやカラーの施術をしたり、美容師がヘアセットしたりと今までにない新体験をご提供致します！,https://camp-fire.jp/projects/view/318661?list=search_result_projects_popular_page2
オフィスやアウトドアでも！どこにでも持ち運べるコンパクトミキサーボトル,-,-,-,347000,ありそうでなかった！コードレスでどこでも気軽に使えるコンパクトミキサーが登場!!大容量バッテリー搭載だから１度の充電で15杯分ものジュースが作れる！ジュース以外にも離乳食やプロテインシェイカーなど色んなシーンで大活躍！,https://camp-fire.jp/projects/view/326081?list=search_result_projects_popular_page2
月額制の通い放題のパーソナルトレーニングジムを福岡にオープンさせます！,7,終了,65000,1000000,高額なイメージのある、パーソナルトレーニング（マンツーマンの運動指導）を誰でも受けられる身近なものにしたくてこのプロジェクトを行います。月額制で毎日でも通えるようなパーソナルトレーニングジムを10月に福岡で開業します。,https://camp-fire.jp/projects/view/228307?list=search_result_projects_popular_page3
水を一切使わない「京都ミルク石鹸」に、どうか力を貸してください,51,終了,300400,300000,コロナの影響で、京都への観光客が激減。しかし、「京都・美山町の良さを届けたい」という想いからクラウドファンディングを立ち上げました。【最大30％off】の非常にお得な価格で購入できるようにリターンを設定しています。,https://camp-fire.jp/projects/view/311926?list=search_result_projects_popular_page3
Ａ級ライセンス以下のボクサーは元ボクサーを名乗れない。,-,-,-,1000000,私は12年前まで地元のボクシングジムで選手として活動をしていましたが、後1勝でＡ級ライセンス取得というところで網膜剥離になり、当時の規定により引退となりました。住まいも都内に移っている先月、35歳になる誕生日に協会の様々な規定変更を知りました。皆様のお力添えであと一つの勝利を掴ませてください。,https://camp-fire.jp/projects/view/316724?list=search_result_projects_popular_page3
人にも環境にも優しい、シルク生まれの衣料用柔軟剤 DipSi（ディプシ）,10,終了,56680,300000,DipSブランドは当社の特許技術製法により、シルクが持つ機能性（抗菌・防臭・抗カビ・保湿等）を損なわずに加工の簡易さ、耐洗濯性を実現した高機能加工です。この度、家庭用柔軟の開発に際し事前予約を受け付けるためにプロジェクトを立ち上げました。時代にマッチしたサスティナブルな暮らしにお役立てくだい。,https://camp-fire.jp/projects/view/308643?list=search_result_projects_popular_page3
8proud オリジナルプロテイン,-,-,-,1500000,綺麗な体を作るのに必要な必須アミノ酸、その必須アミノ酸が全て入ったオリジナルプロテイン！いちご味（予定）でジュースのような味でとても飲みやすく、綺麗な体を目指す手助けに最適です。,https://camp-fire.jp/projects/view/312932?list=search_result_projects_popular_page3
ゴルフプロテインを日本から世界へ　～世界の競技シーンで飲んでもらいたい～,-,-,-,2000000,2021年にアメリカで開催される世界最大級のゴルフの祭典PGAショーに「ゴルフプロテイン」を出展し、日本から世界へ広めたいと思っています。是非ご支援をお願いいたします。,https://camp-fire.jp/projects/view/306834?list=search_result_projects_popular_page3
サイクリングの新しい遊び方に挑戦！「サイクルボール 日本7大1周への挑戦」,58,終了,385500,1000000,ツール・ド・ニッポンが提案する新しい自転車の楽しみ方「サイクルボール」。マイペースにサイクリングを楽しむ方から、ストイックに自転車を極める方まで楽しめるコンテンツを考案しました。ぜひ共に自転車の新しい遊び方を満喫し、「日本7大1周」に挑戦しませんか？,https://camp-fire.jp/projects/view/252749?list=search_result_projects_popular_page3
ケニーの【ダイエット＆ボディメイク】オンラインサロン,0,-,-,-,-,https://camp-fire.jp/projects/view/296116?list=search_result_projects_popular_page3
